=== AT Log start ===
file: /logs/atlog_20251224_005917.txt
[2025/12/24,00:59:17+36] RUN START
[2025/12/24,00:59:17+36] CMD: AT+CREG=0
[2025/12/24,00:59:17+36] RSP: AT+CREG=0
[2025/12/24,00:59:17+36] CMD: AT+CEREG=2
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT+CEREG=2
[2025/12/24,00:59:17+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/24,00:59:17+36] CMD: AT%SETCFG="BAND","8"
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT%SETCFG="BAND","8"
[2025/12/24,00:59:17+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/24,00:59:17+36] CMD: AT+CGATT=0
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT+CGATT=0
[2025/12/24,00:59:17+36] RSP: <F9>b<0E><D1>=&<B9>NW<DF><A9>><D8>8<7F><F8><8D><84>><7F>e<B7>]<84>g<FF><C9><F3><80><E6><DF><F2>5<F7><FD>I<A8>G<CA><EC><F9><E5>;<D1><A8>ozs<B7><EC><C7>_<7F><E5><BF><DA><A7><FF><EC><8F><EF><BE>]<87><<12><7F>}_V<E9>P<CF><FF><7F>w<FC>m<DD><B2><09><F9><CF><0B><F5><F0><DA><C7><9E><C4><E6><FB>}<96><B3>7<91><0F><F9><FF>?<D0><B6><9D>.<FF><8E><FF>E3<D4><F7><E1>wD<1A>c<B6><9F><D8><D4><C7><8C>V<86><DF><7F><F9>n<CF>sy<FF><F7><FA><FF><EB>w<8B>y<0C><CD><FF><FD>;d}e<B9><9D><AE><FF><F7><D9><F2><DF>5'<FC><D9>t<B7><FF><DD><91><87><DA><7F>tQ<DF><F6><9D><BD><92><05>r<87><00><FF>
[2025/12/24,00:59:17+36] RSP: <EB><FD><E5><B7><97><9D>G<86><F5><1A><D3>}Y<B7><E6><7F><CF><B5><AE>1<F9><D3><97>m<9F><A8><B1><89><F7><CF><EA><E3>B*<9D><8E><8D><FF><CF><E9><EB>T<D4><1F>i<DF>m<D7><CD><FF><AA><8B>\<F7><F6>y<8C><EB>_<FA><EF><B1><FE><AD><93><CF>}<AD>_<01><CE><DF><AD><94><F5>y<FB><FE><C9><F6>*<F6><B5><CB><D5><F5><D5><BA><E6>
[2025/12/24,00:59:17+36] CMD: AT+COPS=2
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: +CEREG: 0
[2025/12/24,00:59:17+36] RSP: <FF><F6><FF><BB><DB><FD><FF>^AT+COPS=2
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/24,00:59:17+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/24,00:59:17+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/24,00:59:17+36] CMD: AT+CGAUTH=1,0
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT+CGAUTH=1,0
[2025/12/24,00:59:17+36] CMD: AT+CFUN=1
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT+CFUN=1
[2025/12/24,00:59:17+36] CMD: AT+COPS=1,2,"44020"
[2025/12/24,00:59:17+36] RSP: OK
[2025/12/24,00:59:17+36] RSP: AT+COPS=1,2,"44020"
