=== AT Log start ===
file: /logs/atlog_20251226_164223.txt
[2025/12/26,16:42:23+36] RUN START
[2025/12/26,16:42:23+36] CMD: AT+CREG=0
[2025/12/26,16:42:23+36] RSP: AT+CREG=0
[2025/12/26,16:42:23+36] CMD: AT+CEREG=2
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CEREG=2
[2025/12/26,16:42:23+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:42:23+36] CMD: AT%SETCFG="BAND","8"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%SETCFG="BAND","8"
[2025/12/26,16:42:23+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:42:23+36] CMD: AT+CGATT=0
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CGATT=0
[2025/12/26,16:42:23+36] RSP: <FF>}<AA><F1><EF><FF><FD><A6><EF><FD>m<BA><FF>Wq<DD><EF><EF><FF>}<7F><EF><BA><FF><F1>n<7F><FD><EF><F1><FF><EF><BE><FF><DD>s<BE><FD><F1><FD><EF><BE><EF>3<7F><FF><AE><FE><EF><FF><FF><F7><BE><DD><7F><FF>><FF><EF><FF><7F>\<FF><FF>q<EF><FF><FF><FD><FF><BA><FF><FF><F7>q<AE>_<FF>
[2025/12/26,16:42:23+36] RSP: <EF><BB>_<FF><EF><F3><F7><FF><DF><FF><FF><DE>]<F1><7F>q<A6><FF>}<FF><FF><FD><AA><FF>f<FB><FD><EF><FD><EF><FB><BF>Uu<FF><F5>_}<FD>O}<AE><7F>1<EF><F5>_<FD><EF><BA><F7>]u<FF><FD>_m<F3><CF><FD><AA>uoq<FF><F1>m<F7><EF><BA><BF><F3><EF>q<FF><F5><EF><FD>
[2025/12/26,16:42:23+36] RSP: <EF><BB><BE><FF><FE><FF><EF>:-<FE><F7><DE>\<FF><7F>1<F7><FF><EF><EA><FF><BA>_q<F7>q<AE><AE><FF><EF><FA><FF><FD><7F>q<F7><FF>m<FE><FF><BA><FF><FD><7F><F5><7F><FD><FF><EB><EF><BA><EF><FE><F7><AE><7F><F5><1F><EF><FF><FF>{<FF><F1>\q<EF><F5>_<7F><FF><BE>\<F1><7F>q<F7><FF><FF><7F>
[2025/12/26,16:42:23+36] RSP: <FF>i<DF><BE><EF>q<AE><7F><FD><F9><FD>}<FD>]<7F><FF><FD><FF><FF><F9>O<FD><7F><FF>1<F7><F9><FD><FD>}<FD><DF>m.q<FF>u_<E9><DF><7F><BE><EF><FE><F7><EE><FF><F5><FF><F5><CF><FF><F5><BF>q_<FF><AE><FF>}}<BF><F1><EF><FF><AE><FF>}<FF><FD><FD><F5><C6><FF><F1>.<EF><F9>
[2025/12/26,16:42:23+36] RSP: <FF>m<AA><7F>U<FF><AE>><AF><FE><EF><BA><DC><FF><F5><EE><AE><FF><7F><EF><7F><BF><FF><7F><F1><7F><F5>?}<FF>
[2025/12/26,16:42:23+36] EVENT: ERROR detected; GPIO20 LOW; pending restart
[2025/12/26,16:42:23+36] CMD: AT+COPS=2
[2025/12/26,16:42:23+36] RSP: ERROR
[2025/12/26,16:42:23+36] RSP: +CEREG: 0
[2025/12/26,16:42:23+36] RSP: +CEREG: 5,"409F","03917A0D",7
[2025/12/26,16:42:23+36] RSP: +CEREG: 0
[2025/12/26,16:42:23+36] RESTART FROM TOP
[2025/12/26,16:42:23+36] CMD: AT+CREG=0
[2025/12/26,16:42:23+36] RSP: <FF><EF><FF><AE><FF><AE><FF><FF><FF><FF><FF><BF><FF><FF><FF><FF><FF><EE><FF><FF><BE><FF><FF><FF><BE><EF><BE><F7><FF><AF><FF><FF><FF><EF><BE><FF><FF><FF><EF><FF>m<FF><EF><FF><FF><FF><FD><EF><FF><FF><FF><FF><FF><FF><BE><FF><FF><EF><BE><FF><FF><FF><BE><EF><FF><FF>
[2025/12/26,16:42:23+36] RSP: <EF><BA>_<FF><FF><F5><A6><7F>}<DF><EF><BA><FD><FF><FE><AE><F7><FF><DF><FF><EF><BA><FF><FF><7F><FF><FD>_o<FE><7F><FC><F1><EF><FF><EE>_<FD><FF><FD><EF><BA><FF><F7><F7>_<EF><FD>}<FD><FF><FF><FF><7F>w<FF>_<EF>}<FF><FF><FD>W<FD><DD><F3><7F>}<7F><FF><DD><FD><FF><F7><FF><DE><7F><FD>m
[2025/12/26,16:42:23+36] RSP: <7F><FD><7F><BF><EF><FD><DD>{<EE><A6><FF>m<FD><FF><FD>q<FF><FD><FD>}m}<FF>_q<CF><FD><FF><FD><F1>m<F5>w<C6><DF><FF><FB><FF><FD><FD>m<7F>]<F1>wq<EF><FD><FD><F9>i<C3><DE><FF><F5><EF><F5><A6><F7><FF>m<FD><7F>}_<F7><FF><FE><FD><F5><ED><FE><FD><FD><DD>}<DF><FF>
[2025/12/26,16:42:23+36] RSP: <F9><FC>o<F1>f<BE><FF>_]<7F><FF><CF>?fq]<FF><FB><FF>\\<FD><F5><E7><FC>~^_<FF>}<FC><7F><FF>nn<BF><FF>_]\_<FE><FF><8F><DD><FD>^}<ED><E7>^]u\<FE><FF><AE><ED><FF><FF><E7><CF><FF><AE>_\|<FD><FD>U<F7><7F><F5><F9>
[2025/12/26,16:42:23+36] RSP: <FF><FF>
[2025/12/26,16:42:23+36] RSP: <FF><FF><FF><FF><FF><FF><FF><FF>
[2025/12/26,16:42:23+36] RSP: <EF><DF>}<7F>^<F7>\<7F>}~<AE><DD><FF>}<FC><EF><FD>n<F1><FF><FF>_<7F><FD>~<FC><FF><FD><F9>_<FF><BF><F7><FE><FE><BF><FD><FF><EF><FF><ED>]<FF><FF><AE><FC><E6><FA><FC>^<F1><DF><CC>\_<FA><ED><FF><FF>]<DC><FF><AE><FC>
[2025/12/26,16:42:23+36] RSP: <7F><FF><7F><FD><7F>_<F5><7F><FF><FF><7F><FD><FD><DB><DE><F7>]q<EF><F5><FF>}<FD><FD><FF>]q<FF><FD><FF><7F><F5>m<BA><7F><FF>q<EE><FB><FD>_<FD><FD><FD><7F><FF><F5><DD><E7><AE><EF>}<FD><FF><FF><DF>}<FF><FD><7F><F5><FD><BA><F9><FF>q}<F5><FE><7F><F9><FE><EF><FF>}<F7><CF><EF><FD>
[2025/12/26,16:42:23+36] RSP: <B5><7F><FF><F5>{gi<F9><FF><FF><FC><7F><7F>{<7F><FD><95><F5><EE><DF><F7><FF><F2><FE><FA><B6><EB><7F><9A><FC><D1><FF><FF><F9>^<DB><EB><FC>u<EB><FF><EF><E7><FF><DF>z<FE><7F><FB>W<F3><FF><7F>kw<FA><FA><FF><F5><EF><DE><D6><AF><FF>_<FF><FD><AF><FE><8E>~<DE>{<96><7F><DF><DC><F7><BE>v<E3><FE><EE><FF><F7><BF><EF><7F><FB><BF><D7><9B><F7><FF><F7><EE><FE><DF><EF><FB><FF><EF><FD><F7><FF><DF><EF><7F><BF><BF><FF><FF><9F>_[<FF><FA><FB><FF><FF><EF><FE><FF><FF><FF><FB><F6><FE><F7><E7><EF><FF><AF>[<DB><FF><7F><FF><E7><FB><F5>_<B6><FE><DF><E6><EB>
[2025/12/26,16:42:23+36] TIMEOUT: 30s
[2025/12/26,16:42:23+36] CMD: AT+CEREG=2
[2025/12/26,16:42:23+36] RSP: AT+CEREG=2
[2025/12/26,16:42:23+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:42:23+36] CMD: AT%SETCFG="BAND","8"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%SETCFG="BAND","8"
[2025/12/26,16:42:23+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:42:23+36] CMD: AT+CGATT=0
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CGATT=0
[2025/12/26,16:42:23+36] CMD: AT+COPS=2
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: +CEREG: 0
[2025/12/26,16:42:23+36] RSP: AT+COPS=2
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/26,16:42:23+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/26,16:42:23+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/26,16:42:23+36] CMD: AT+CGAUTH=1,0
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CGAUTH=1,0
[2025/12/26,16:42:23+36] CMD: AT+CFUN=1
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CFUN=1
[2025/12/26,16:42:23+36] CMD: AT+COPS=1,2,"44020"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+COPS=1,2,"44020"
[2025/12/26,16:42:23+36] EVENT: ERROR detected; GPIO20 LOW; pending restart
[2025/12/26,16:42:23+36] RSP: ERROR
[2025/12/26,16:42:23+36] RESTART FROM TOP
[2025/12/26,16:42:23+36] CMD: AT+CREG=0
[2025/12/26,16:42:23+36] RSP: <FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF>
[2025/12/26,16:42:23+36] RSP: <EF><BA><BF><F7>~<FF><F5>_<FD><DF><EF><7F><BF><FF><E7><DD><FF><FF>?<FC><EF>y<BF><F7><FF>q<FF><FD>?<FD><FF><EF><BA>_<F3><F7>q<FF><FD><7F>|<FF><EF><FE><AE><FB><FF><FF>u_m<CF><EF><7F><BF><FF>u<FD><AE><7F><DD><EF><BA><BF><F7><FF><F5><AE><EF><FD><FF>}<BE><FF>5<A7><F5>_m<F7>
[2025/12/26,16:42:23+36] RSP: <AE><FF>}y<FF><FD>?<F3><F5><EE><FD><F5><AF><FA><F7>]<F3>O<F5><DF><7F><F9><FF><C7><DE><FF><F5><FF><F3><FF><FD>|<DF>}<FC><FF><EF>w<FF>u<FF><AE>_<E1>}<FF><FF>q}<F5><E6><FD>_<E9><C7><DE><FF><FF><7F><F5><ED><FF><7F><FD><ED><C7><DE>Lu<FF><F3><FE><FD><FD><FD><C7><C6>Uu<EF>q<AE>
[2025/12/26,16:42:23+36] RSP: <FD><DF><F1>~Wq]<FF><FC>}|}n<F1>~<DD><FF><AE>\\<7F><FE><FF><8F><DD>_<DF><7F><DF>^<F1>~<DD>}}<FC>}^<F1>~<FF><7F>}<FD><7F><FD>o1<FF>_\\<DF>v~<BF><FF><FF>}<ED><7F><EF>.<DF><F5>}<FD>
[2025/12/26,16:42:23+36] RSP: <FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF><FF>
[2025/12/26,16:42:23+36] RSP: <BF><FA>y~<B1>fq]<F7><FC>o<7F><EF>~<F5>v<FF>^<FD><FE>]|<7F><FD><7F>q<EF><F1>]<FF>O<FC><FD>|<BF><FF><FF>\|}<FD>nu<FE><DF><FC>\\<DF><FD><7F>q<EE><FF>___}<FF><F5><FE><F7>_^<BB><FC><FD>~uf<AE>_
[2025/12/26,16:42:23+36] RSP: <7F><FD>m<D3><DE><EF>u<EF><FF><AE><A6><FF><FD><D7><D6>]uu<FF><FE><A6><FF><ED><C7><D6><FD><FB><FE><A6><EE><7F><FD><FD><FE><DC><FF>~3<FF><FE><FF><7F><FF><FF><DC><FD>_w<A6><FF><FF><DF>}<D7><DE><BF><F1><FF><FF><EE><FD><FD>m<D7><DE>Mun<FF><BE><7F><FD><FD><D7><DE><FF><FF><FF>y_<FF>
[2025/12/26,16:42:23+36] RSP: <FF><BB>]<FF><DD>{<DF><FF><7F><FF><DF><FF><AA><F5><FF>u_<DF><7F><FF><EF><BA><BF><F7><FE><EE><BE><AE><7F><FC><DD><FD><AA><F7><7F>q<7F><FD>m<FA><EF><BA><BF><FF>o<F5>_<F5>|<FF><FF><7F><BF><FF>5<7F><F5>m}<7F><FF><7F><F5><F7><F5><AE><EF><FF><FF><FF><BB>\<FB>_q<7F><F5><EE><FF><FF>
[2025/12/26,16:42:23+36] RSP: <FF><BA><BF><F1>5<FF><FD>_m<FA><EF><F6><AA><FF>]q<7F><F5><FD><FE><FF><EF><F9><F7><F5><EF>q<7F><FD>m<FB>
[2025/12/26,16:42:23+36] TIMEOUT: 30s
[2025/12/26,16:42:23+36] CMD: AT+CEREG=2
[2025/12/26,16:42:23+36] RSP: AT+CEREG=2
[2025/12/26,16:42:23+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/26,16:42:23+36] CMD: AT%SETCFG="BAND","8"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%SETCFG="BAND","8"
[2025/12/26,16:42:23+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/26,16:42:23+36] CMD: AT+CGATT=0
[2025/12/26,16:42:23+36] RSP: OK
[2025/12/26,16:42:23+36] RSP: AT+CGATT=0
[2025/12/26,16:42:23+36] RSP: <DF><DD>~<DF><CE>}_<FD><E7><EF><EF><FF><7F><7F><F7>_<FF>_<FD>v<F5>]_<7F><FF><DF><7F><BF><E5><CC><FE><FF><ED>_<FF><FE><7F><EF><BF><DE>><FE>^<EF><FA><FD>~<F1><DC><F5>\<FF>}<7F><EF><FD><CC><DF><F5>]\<FC><EF>uo~<BF><DF><EF>
[2025/12/26,16:42:23+36] RSP: <EF><FD><F7>]<FF><F3><FD>m<F7><FF><7F><BF><FF><DD>{<DD><EF><7F><FF><EF><BA><E7><FE><D7>{<FD><FF><FD><FF><EF><F9><BF><F5><F7><FF><FA><EF><FD><EF>}<FF><F1>]s<7F><F5><EF><EF><FF><EF>y<FF><FF><F7><DD><FD><FF><FF><FF><FF><BA><BF>Uu<DD><EF><FF><CF><FD><FF><FD><F1><FF><EE><FF><FD><7F>m<7F>
[2025/12/26,16:42:23+36] RSP: <7F><FD><FF><EF><FF>W<F5><D7>;<BF><FF><FD>_<7F><BF><FD><BE><FF><FD><FE><7F><FD>i<FA><E7><BE><F5><DD><FD><7F><FD><7F><FF><FF><FF><FF><7F><EE><ED><FD>m<BA><FF><7F><FF><F3><EE><FD><F1>_<FF><F7>nq<FF>}<FF><AE><EF>}<7F><FF><FF><BE><FF><BE><DF><AE><EF>}<7F><FD><FF><7F><FF><FD>
[2025/12/26,16:42:23+36] EVENT: ERROR detected; GPIO20 LOW; pending restart
[2025/12/26,16:42:23+36] CMD: AT+COPS=2
[2025/12/26,16:42:23+36] RSP: ERROR
[2025/12/26,16:42:23+36] RSP: +CEREG: 0
