=== AT Log start ===
file: /logs/atlog_20251224_030824.txt
[2025/12/24,03:08:24+36] RUN START
[2025/12/24,03:08:24+36] CMD: AT+CREG=0
[2025/12/24,03:08:24+36] RSP: AT+CREG=0
[2025/12/24,03:08:24+36] CMD: AT+CEREG=2
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT+CEREG=2
[2025/12/24,03:08:24+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/24,03:08:24+36] CMD: AT%SETCFG="BAND","8"
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT%SETCFG="BAND","8"
[2025/12/24,03:08:24+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/24,03:08:24+36] CMD: AT+CGATT=0
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT+CGATT=0
[2025/12/24,03:08:24+36] RSP: Y<00><A5><E7>W<E7>`<F6><91><88><FD><B9><FF><FB>w<C1>o<97><E1>d<DA><A8>y<9E><F6><89>wu<B6><CE><D6><EB><CD>\<E6><BF><CB>8<F6><FF><BC><E7><B3>w}<BF><D2>e<FE><AD>-<DF><C4>o<DF><BE>4<DD><B7><C6><D2><D5><9F><ED><E3>r<F6>`m<B8>W<E7><F7><CD><1F>g<DC>LO<CF>w<DF><17><DA><95><0F>o<B1><C9><EF><97><0C><EF><D7><AE><85><EB><C7><DD><F2><A2><A3><V<8B><05><E7><AC>,<B9><FB><9E><FE><B2><BE>T<DB><B6><FE>c<DD>^<DE>a<FB><9F><DA><E4><F7><BF>e<98>Y<F0><B5><93><C9><BE><D5><CE><DB>D<BB><FF><BF>zucw<C7><AF>L<D4><F5>ow9<7F>[<FF>x<DB><CA><B3><B8>{<E7><BD>u<FF><10><FA>o<D7><B3><AE><A6><E3><17><1F><FE>
[2025/12/24,03:08:24+36] RSP: <A7>?<FF><7F><FF><B7><AE><F9><9E><DF>o[<FF><FB><DF><E6><C4><DD><9F><D7><FF><7F><EF><FF><BF><FD><F7><9F><DF><8F><FF><DF><BF>
[2025/12/24,03:08:24+36] RSP: <FD><17><F7><DF><16><BE><FB><C3>s<F7><BB><FB>O<FF><AE><DE><DA><F6><FF><D7><BF><FE>><EE><EF><CF><D7><DF>1<FF><9F><FE><FA><BC><FE><FF><F7><FD><ED><DF>q<E7><FF><BF><FF><F7><FF><F6>4Z{<F2><DF><D4><FF>;<E7><F6>|<BF>t<B7><BF><DF>P<8F><C3><E5>:<DE><F6><F6><8E><F7><DF>:<FA>k,<AA><DE><E2><EE>?<9D><FC><E7>k<7F>j<BB><DE>qzv<1E><CA>P<FF><E2><CF>{e<CE><D5><FB><7F><7F><EF><B6><ED>O<FC><C7><F7>~<FF><7F><F3><EF><F5>u<FA>n<BF>5[<FB>\<BD><C7>
[2025/12/24,03:08:24+36] CMD: AT+COPS=2
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: +CEREG: 0
[2025/12/24,03:08:24+36] RSP: <BC>g<F9><EF><BD><DD><BD>1Z<E6>4<FF>AT+COPS=2
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/24,03:08:24+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/24,03:08:24+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/24,03:08:24+36] CMD: AT+CGAUTH=1,0
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT+CGAUTH=1,0
[2025/12/24,03:08:24+36] CMD: AT+CFUN=1
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT+CFUN=1
[2025/12/24,03:08:24+36] CMD: AT+COPS=1,2,"44020"
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: AT+COPS=1,2,"44020"
[2025/12/24,03:08:24+36] RSP: ]<FB><DF><C0>Qw<B7>e<D7>A <E7><D5>e<8F><C5><ED><FD><E7><BE><1F><E7>G<C3><FE>l<C8><B5><B9>~u<E3>7<A9><8F><E7><D9><BA><D5>j<94>{<B7><B2><E1><F7><8E>su<EF><85>,<BB><FF><BD>,<07><E3><E9><F7>v<FF>~<DF><EE><89><F6>x<FF><FB><AD><B7><95><DF>C<B8><BD><F8><BF><ED><F8><84>6<A7>|<E8><AD><D5>]<DF><E0><F3>S[p\<E5>i<CD><AF><85><ED><EB>qQ<F1><A7><EF><F3><A9><F2><87><F2><D4><BA><B2><CD><E5><EB><D7><91><CA><FE>x<F5>U/<FB><C7>}<FB><AF><C6><FF>L<B7><A2>c<A9><EF>c<EE>G<D1>G<F5><17><FF><CC><C7><E7><9B>O<B3><ED>{<F7><C0><1D><F9>{<FB>0}[<87><FF>m<FD>I<95><F6><FF>$<ED><BC><E5><FF>
[2025/12/24,03:08:24+36] RSP: <FC><0E><BB><ED><EA><F4><EA>d<B8>f;<FF><E7><DF><FB><FF><FB><FF><FE><7F><FF><9F><BF><FF><F7><DB><F5><7F><FF><FF><F7><FF><FF><FE><FF><F7><FF>o<7F><FD><7F><FF><FF><BF><FF><FF><F5><FF><FF><FF><FF><FF>o<FF><FF>u<FF><FF>o<FD><FF><BF><FF><FF>o<DB><FF><B5><FF><F7><FF><FF><FF><7F><BF>~<BF><FF><FF><E7><FF><E9><BF><F1><F7><F7><ED><BF><7F><7F><FF><FF><EF>
[2025/12/24,03:08:24+36] RSP: <BE><94>]<AF><F3>x<FC><B6><06><FB><F7>
[2025/12/24,03:08:24+36] RSP: <AA><8F><06><EE><BF>.6.<8F><E6><FF>
[2025/12/24,03:08:24+36] RSP: <FD><FF><EB>w<FF><FF><FF><FF><FF>
[2025/12/24,03:08:24+36] RSP: OK
[2025/12/24,03:08:24+36] RSP: +CEREG: 2
[2025/12/24,03:08:24+36] RSP: +CEREG: 5,"409F","03917A0D",7
[2025/12/24,03:08:24+36] CMD: AT+COPS?
[2025/12/24,03:08:24+36] RSP: AT+COPS?
